com.flashforceapp.brewersdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersalt1,published,managed_by_android,false,en_US; American Pro ⚾  Gold Alternate Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersal2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersalt4,published,managed_by_android,false,en_US; American Pro ⚾  Striped Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.indiansdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansalt1,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansalt2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.royalsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Lt Blue Alternate Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home St Louis; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away St Louis; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Off White St Louis; Flash Force Pattern,true,990000
com.flashforceapp.marinersdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersalt1,published,managed_by_android,false,en_US; American Pro ⚾  Sunday Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersgreen,published,managed_by_android,false,en_US; American Pro ⚾  Green Alternate Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersblue,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Seattle; Flash Force Pattern,true,990000
com.flashforceapp.philliesdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.philliesaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.philliesalt1,published,managed_by_android,false,en_US; American Pro ⚾  Cream Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.metsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Gray New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt3,published,managed_by_android,false,en_US; American Pro ⚾  Brown Alternate New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.bravesdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt1,published,managed_by_android,false,en_US; American Pro ⚾  Cream Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt2,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt3,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.athleticsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Yellow Alternate Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Green Alternate Oakland; Flash Force Pattern,true,990000
