com.flashforceapp.brewersdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersaway,published,managed_by_android,false,en_US; American Pro Baseball Away Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersalt1,published,managed_by_android,false,en_US; American Pro Baseball Gold Alternate Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersal2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.brewersalt4,published,managed_by_android,false,en_US; American Pro Baseball Striped Milwaukee; Flash Force Pattern,true,990000
com.flashforceapp.indiansdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansaway,published,managed_by_android,false,en_US; American Pro Baseball Away Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansalt1,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.indiansalt2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Cleveland; Flash Force Pattern,true,990000
com.flashforceapp.royalsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsalt1,published,managed_by_android,false,en_US; American Pro Baseball Lt Blue Alternate Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.royalsalt2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Kansas City; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home St Louis; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsaway,published,managed_by_android,false,en_US; American Pro Baseball Away St Louis; Flash Force Pattern,true,990000
com.flashforceapp.stcardinalsalt1,published,managed_by_android,false,en_US; American Pro Baseball Off White St Louis; Flash Force Pattern,true,990000
com.flashforceapp.marinersdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersaway,published,managed_by_android,false,en_US; American Pro Baseball Away Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersalt1,published,managed_by_android,false,en_US; American Pro Baseball Sunday Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.marinersgreen,published,managed_by_android,false,en_US; American Pro Baseball Green Alternate Seattle; Flash Force Pattern,true,990000
